Date,Day,Steps,,,
2021-09-03,Sunday,"15,305",,Sunday,"28,240"
2021-09-04,Monday,"7,500",,Monday,"18,921"
2021-09-05,Tuesday,"6,825",,Tuesday,"19,683"
2021-09-06,Wednesday,"9,992",,Wednesday,"32,167"
2021-09-07,Thursday,"16,425",,Thursday,"29,081"
2021-09-08,Friday,"10,418",,Friday,"25,909"
2021-09-09,Saturday,"8,170",,Saturday,"21,648"
2021-09-10,Sunday,"6,755",,,
2021-09-11,Monday,"2,586",,,
2021-09-12,Tuesday,"3,184",,,
2021-09-13,Wednesday,"7,998",,,
2021-09-14,Thursday,"6,688",,,
2021-09-15,Friday,"5,844",,,
2021-09-16,Saturday,"4,553",,,
2021-09-17,Sunday,"4,123",,,
2021-09-18,Monday,"5,632",,,
2021-09-19,Tuesday,"2,095",,,
2021-09-20,Wednesday,"8,248",,,
2021-09-21,Thursday,"2,987",,,
2021-09-22,Friday,6,,,
2021-09-23,Saturday,"7,033",,,
2021-09-24,Sunday,"2,057",,,
2021-09-25,Monday,"3,203",,,
2021-09-26,Tuesday,"7,579",,,
2021-09-27,Wednesday,"5,929",,,
2021-09-28,Thursday,"2,981",,,
2021-09-29,Friday,"9,641",,,
2021-09-30,Saturday,"1,892",,,
2021-10-01,Sunday,"5,276",,,
2021-10-02,Monday,"8,450",,,
2021-10-03,Tuesday,0,,,
,,,,,
Average,"6,109",,,,
Daily Recommendation,"10,000",,,,
Average daily steps from study,11473,,,,
